Package,LibPath,Version,Priority,Built
anytime,/Users/caseyross/Library/R/arm64/4.2/library,0.3.9,NA,4.2.0
BH,/Users/caseyross/Library/R/arm64/4.2/library,1.78.0-0,NA,4.2.0
bitops,/Users/caseyross/Library/R/arm64/4.2/library,1.0-7,NA,4.2.0
brew,/Users/caseyross/Library/R/arm64/4.2/library,1.0-7,NA,4.2.0
brio,/Users/caseyross/Library/R/arm64/4.2/library,1.1.3,NA,4.2.0
checkmate,/Users/caseyross/Library/R/arm64/4.2/library,2.1.0,NA,4.2.0
commonmark,/Users/caseyross/Library/R/arm64/4.2/library,1.8.0,NA,4.2.0
conflicted,/Users/caseyross/Library/R/arm64/4.2/library,1.1.0,NA,4.2.0
credentials,/Users/caseyross/Library/R/arm64/4.2/library,1.3.2,NA,4.2.0
crosstalk,/Users/caseyross/Library/R/arm64/4.2/library,1.2.0,NA,4.2.0
Cubist,/Users/caseyross/Library/R/arm64/4.2/library,0.4.0,NA,4.2.0
DataExplorer,/Users/caseyross/Library/R/arm64/4.2/library,0.8.2,NA,4.2.0
desc,/Users/caseyross/Library/R/arm64/4.2/library,1.4.1,NA,4.2.0
devtools,/Users/caseyross/Library/R/arm64/4.2/library,2.4.4,NA,4.2.0
dials,/Users/caseyross/Library/R/arm64/4.2/library,1.0.0,NA,4.2.0
DiceDesign,/Users/caseyross/Library/R/arm64/4.2/library,1.9,NA,4.2.0
diffobj,/Users/caseyross/Library/R/arm64/4.2/library,0.3.5,NA,4.2.0
doParallel,/Users/caseyross/Library/R/arm64/4.2/library,1.0.17,NA,4.2.0
downlit,/Users/caseyross/Library/R/arm64/4.2/library,0.4.2,NA,4.2.0
dygraphs,/Users/caseyross/Library/R/arm64/4.2/library,1.1.1.6,NA,4.2.0
earth,/Users/caseyross/Library/R/arm64/4.2/library,5.3.1,NA,4.2.0
extraDistr,/Users/caseyross/Library/R/arm64/4.2/library,1.9.1,NA,4.2.0
flexdashboard,/Users/caseyross/Library/R/arm64/4.2/library,0.5.2,NA,4.2.0
fontawesome,/Users/caseyross/Library/R/arm64/4.2/library,0.2.2,NA,4.2.0
foreach,/Users/caseyross/Library/R/arm64/4.2/library,1.5.2,NA,4.2.0
forecast,/Users/caseyross/Library/R/arm64/4.2/library,8.16,NA,4.2.0
Formula,/Users/caseyross/Library/R/arm64/4.2/library,1.2-4,NA,4.2.0
fracdiff,/Users/caseyross/Library/R/arm64/4.2/library,1.5-1,NA,4.2.0
furrr,/Users/caseyross/Library/R/arm64/4.2/library,0.3.0,NA,4.2.0
future,/Users/caseyross/Library/R/arm64/4.2/library,1.26.1,NA,4.2.0
future.apply,/Users/caseyross/Library/R/arm64/4.2/library,1.9.0,NA,4.2.0
gert,/Users/caseyross/Library/R/arm64/4.2/library,1.6.0,NA,4.2.0
gh,/Users/caseyross/Library/R/arm64/4.2/library,1.3.0,NA,4.2.0
gitcellar,/Users/caseyross/Library/R/arm64/4.2/library,0.0.0.9000,NA,4.2.1
gitcreds,/Users/caseyross/Library/R/arm64/4.2/library,0.1.1,NA,4.2.0
glmnet,/Users/caseyross/Library/R/arm64/4.2/library,4.1-4,NA,4.2.0
globals,/Users/caseyross/Library/R/arm64/4.2/library,0.15.1,NA,4.2.0
gower,/Users/caseyross/Library/R/arm64/4.2/library,1.0.0,NA,4.2.0
GPfit,/Users/caseyross/Library/R/arm64/4.2/library,1.0-8,NA,4.2.0
gridExtra,/Users/caseyross/Library/R/arm64/4.2/library,2.3,NA,4.2.0
